1.	Welche Schule der Magie habt Ihr am längsten studiert?
a.	Zerstörung
	#4300
	!4301
	22 +6
b.	Wiederherstellung
	#4302
	!4303
	23 +6
c.	Illusion
	#4304
	!4305
	24 +6
d.	Veränderung
	#4306
	!4307
	25 +6
e.	Thaumaturgie
	#4308
	!4309
	26 +6
f.	Mystik
	#4310
	!4311
	27 +6

2.	Was bewegt Euch zu einem Leben als Abenteurer?
a.	Reichtümer
	#4162
	GP +500
b.	Ruhm
	#4163
	r4 +10
	r2 +10
c.	Wissen
	#4164
	IT 7 0 0
d.	Spaß
	#4165
	1 +3
	2 +3
e.	Anderen zu helfen
	#4166
	r0 +10

3.	Neben Eurer formellen Ausbildung, habt Ihr
	Euch auch mit ___ beschäftigt.
a.	Kontakten zu Aristokraten
	#4260
	1 +6
	r3 +5
	r0 -5
b.	Lektionen in Gerissenheit
	#4261
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	der Ausübung von Akrobatik
	#4262
	3 +2
	20 +2
	18 +2
d.	dem Erlernen von Handel
	#4263
	14 +6
e.	Schwimmübungen
	#4265
	17 +6
f.	Kampfübungen
	#4266
	30 +6

4.	Seit Eurer Kindheit verwahrt Ihr ___.
a.	100 Goldstücke
	#4167
	GP +100
b.	ein Lieblingsbuch
	#4168
	IT 7 0 0
c.	einen Brustharnisch
	#4169
	IT 2 0 1
d.	einen Elfenflegel
	#4195
	IT 3 12 3

5.	In Anerkennung Eurer Dienste gab Euch
	der Kaiser ___.
a.	über 200 Goldstücke
	#4172
	GP +250
b.	einen Ebenerzdolch
	#4173
	IT 3 0 7
c.	ein Buch
	#4174
	IT 7 0 0
d.	einen Rubin
	#4175
	IT 14 0 0
e.	einen Silberstab
	#4176
	IT 3 2 2
f.	eine Rüstung
	#4196
	IT 2 0 0
	IT 2 2 0
	IT 2 3 0
	IT 2 4 0

6.	Als Ihr älter wurdet, erhieltet Ihr zusätzliche
	magische Ausbildung in der ___.
a.	Schule der Zerstörung
	22 +6
b.	Schule der Wiederherstellung
	23 +6
c.	Schule der Illusion
	24 +6
d.	Schule der Veränderung
	25 +6
e.	Schule der Thaumaturgie
	26 +6
f.	Schule der Mystik
	27 +6

7.	Euer Spitzname als Kind war ___.
a.	Sprunghase
	3 +6
b.	Guppyfisch
	17 +6
c.	Wieselflink
	21 +6
d.	Streithahn
	30 +6
e.	Affenstrolch
	18 +6

8.	Ihr seid freundlicher als die meisten anderen
	im Umgang mit ___.
a.	den wilden Harpyien
	5 +6
b.	den einfältigen Riesen
	6 +6
c.	den prächtigen Drachen
	7 +6
d.	den schamlosen Nymphen
	8 +6
e.	den infernalischen Daedra
	9 +6
f.	den ländlichen Zweiglingen
	10 +6
g.	den primitiven Zentauren
	11 +6
h.	den schadenfrohen Kobolden
	12 +6

9.	Von allen unangenehmen Typen hasst Ihr
	persönlich ___ am meisten.
a.	scheinheilige Priester
	AE M 8 12 +3
b.	diabolische Zauberer
	AE M 8 2 +4
c.	dumme Bauern
	AE M 8 8 +3
d.	machthungrige Raubritter
	AE M 8 17 +4
e.	amoralische Assassinen
	AE M 8 11 +2

10.	Ihr seid mit ___ befreundet.
a.	einem Mönch
	AF O 8 12 +1
b.	einem Magier
	AF O 8 2 +1
c.	einem Banditen
	AF O 8 8 +1
d.	einem Krieger
	AF O 8 17 +1
e.	einem Assassinen
	AF O 8 11 +1

11.	Zu welchem Gott betet Ihr, wenn überhaupt?
a.	Zu keinem
	r2 +5
b.	Arkay, Gott von Geburt und Tod
	rf82 +5
c.	Zenithar, Gott des Handels
	rf84 +5
d.	Mara, der Muttergöttin
	rf88 +5
e.	Dibella, Göttin der Schönheit
	rf98 +5
f.	Julianos, Gott der Logik
	rf94 +5
g.	Akatosh, Gott der Zeit
	rf92 +5
h.	Stendarr, Gott der Gnade
	rf106 +5
i.	Kynareth, Göttin der Luft
	rf36 +5

12.	Euer größtes Problem besteht darin ___.
a.	Giften zu widerstehen
	RP -10
b.	wach und alarmiert zu bleiben
	FT -5
c.	Kontakte zu knüpfen
	RR -5
d.	Krankheiten zu verhindern
	RD -5
e.	Magie zu widerstehen
	MR -5
f.	ohne Magie zu kämpfen
	TH -5

