- Text database for game settings window.

schema: *key,text

- Tabs and section titles

gamePlay,                                           Spielablauf
interface,                                          Benutzeroberfläche
enhancements,                                       Verbesserungen
video,                                              Video
accessibility,                                      Barrierefreiheit

game,                                               Spiel
controls,                                           Steuerung
audio,                                              Audio
spells,                                             Zaubersprüche
tooltips,                                           Tooltips
hud,                                                HUD
gui,                                                Bedienoberfläche
light,                                              Beleuchtung
basic,                                              Basis
advanced,                                           Erweitert
automap,                                            Automap
dungeonmicromap,                                 	Dungeon-Mikro-Karte

- Settings and tooltip descriptions

startInDungeon,                                     Start im Dungeon
startInDungeonInfo,                                 Beginnt ein neues Spiel im ersten Dungeon.
smallerDungeons,                                    Kleinere Dungeons
smallerDungeonsInfo,                                Zufällige Dungeons haben nur einen Innenblock und vier Grenzblöcke
randomDungeonTextures,                              Dungeon-Texturen
randomDungeonTexturesInfo,                          Generiert die Texturtabelle für Dungeons aus einer zufälligen Auswahl.
cameraRecoilStrength,                               Kamera-Rückstoßstärke
cameraRecoilStrengthInfo,                           Stärke des Rückstoßes wenn der Spieler Schaden nimmt. Skaliert mit dem Schaden.
mouseSensitivity,                                   Mausempfindlichkeit
mouseSensitivityInfo,                               Empfindlichkeit der Mausbewegung
weaponSensitivity,                                  Waffensensitivität
weaponSensitivityInfo,                              Empfindlichkeit der Waffenschwünge in Bezug auf die Mausbewegung
movementAcceleration,                               Bewegungsbeschleunigung
movementAccelerationInfo,                           Fügt der Bewegung eine geringe Beschleunigung/Verzögerung hinzu.
weaponAttackThreshold,                              Waffen-Angriffsschwelle
weaponAttackThresholdInfo,                          Minimale Mausbwegung für einen Angriff
soundFont,                                          SoundFont
soundFontInfo,                                      SoundFount aktivieren
alternateMusic,                                     Alternative Musik
alternateMusicInfo,                                 Verwendet die OPL3-optimierte Version des Soundtracks.
soundVolume,                                        Sound-Lautstärke
soundVolumeInfo,                                    Einstellung der Lautstärke des Sounds.
musicVolume,                                        Musik-Lautstärke
musicVolumeInfo,                                    Einstellung der Lautstärke für Musik.
spellLighting,                                      Zauberspruch-Beleuchtung
spellLightingInfo,                                  Aktivieren der Beleuchtung für Zaubersprüche.
spellShadows,                                       Zauberschatten
spellShadowsInfo,                                   Aktiviere Zauberschatten.
instantRepairs,                                     Sofortige Reparaturdienstleistungen
instantRepairsInfo,                                 Deaktiviert das Warten und Erledigt Reparaturen sofort.
bowDrawback,                                        Bögen - Spannen und Lösen
bowDrawbackInfo,                                    Ermöglicht das Zurückziehen eines Bogens beim Halten der rechten Maustaste; Loslassen um zu schießen.
toggleSneak,                                        Schleichmodus umschalten
toggleSneakInfo,                                    Erlaubt das Umschalten der Schleichaktion anstelle des Haltens.

toolTips,                                           Tooltipp
toolTipsInfo,                                       Zeigt Informationen über Elemente der Bedienoberfläche
toolTipDelayInSeconds,                              Verzögerung
toolTipDelayInSecondsInfo,                          Tooltipp-Verzögerung in Sekunden
toolTipTextColor,                                   Textfarbe
toolTipTextColorInfo,                               Schriftfarbe für Tooltipp-Texte
toolTipBackgroundColor,                             Hintergrundfarbe
toolTipBackgroundColorInfo,                         Hintergrundfarbe für Tooltipps
crosshair,                                          Fadenkreuz
crosshairInfo,                                      Aktivieren des Fadenkreuzes
vitalsIndicators,                                   Lebensanzeige-Indikatoren
vitalsIndicatorsInfo,                               Zeigt Indikatoren auf den Lebensbalken an die Änderungen in den Lebenswerten anzeigen
interactionModeIcon,                                Interaktionsmodus-Symbol
interactionModeIconInfo,                            Stil des Kontextsymbols für den Interaktionsmodus
arrowCounter,                                       Pfeilzähler
arrowCounterInfo,                                   Aktivieren eines Pfeilzählers auf dem HUD bei Verwendung von Bögen
showQuestJournalClocksAsCountdown,                  Countdown im Tagebuch (Uhrzeit)
showQuestJournalClocksAsCountdownInfo,              Zeigt die verbleibende Zeit anstelle der Zeit seit Questbeginn an.
inventoryInfoPanel,                                 Info-Panel des Inventars
inventoryInfoPanelInfo,                             Info-Panel des Inventars
enhancedItemLists,                                  Erweiterte Inventarliste
enhancedItemListsInfo,                              Inventar hat ein 16x-Gitter
enableModernConversationStyleInTalkWindow,          Moderner Gesprächsstil im Gesprächsfenster
enableModernConversationStyleInTalkWindowInfo,      Aktiviert den modernen Gesprächsstil im Gesprächsfenster
iconsPositioningScheme,                             Aussehen der Buff-Symbole
iconsPositioningSchemeInfo,                         Größe und Position der angezeigten (De-)Buff-Symbole
helmAndShieldMaterialDisplay,                       Helm- und Schildmaterialanzeige
helmAndShieldMaterialDisplayInfo,                   Zeigt das Material für Helme und Schilde in Info-Fenstern und Tooltipps
geographicBackgrounds,                              Geografische Hintergründe
geographicBackgroundsInfo,                          Kontextbezogene Charakterhintergründe basierend auf dem geografischen Standort
dungeonExitWagonPrompt,                             Aufforderung zum Wagenzugang im Dungeon
dungeonExitWagonPromptInfo,                         Aufforderung zum Wagenzugang beim Verlassen des Dungeons. (Der Wagen ist immer innerhalb von 5m vom Ausgang aus zugänglich)
travelMapLocationsOutline,                          Konturlinien für Reisekartenorte
travelMapLocationsOutlineInfo,                      Zeichnen Sie eine Kontur um Orte auf regionalen Karten um die Sichtbarkeit zu verbessern
guildQuestListBox,                                  Liste für Gildenquests
guildQuestListBoxInfo,                              Trägt qualifizierte Gildenquests in einer Listenbox zusammen
bowLeftHandWithSwitching,                           Bögen nur in der linken Hand ausrüsten
bowLeftHandWithSwitchingInfo,                       Bögen in der linken Hand ausrüsten und das Wechseln mit einer Einhandwaffe ermöglichen - Wechseln mit kurzer Verzögerung
loiterLimitInHours,                                 Maximale Wartezeit in Stunden
loiterLimitInHoursInfo,                             Ändert die standardisierte maximale Wartezeit in Stunden
automapTempleColor,                                 Farbe von Gildenhallen
automapTempleColorInfo,                             Farbe von Tempeln und Gildenhallen auf der Dungeon-Auto-Karte
automapShopColor,                                   Farbe von Geschäften
automapShopColorInfo,                               Farbe von Geschäften auf der Dungeon-Auto-Karte
automapTavernColor,                                 Farbe der Gasthäuser
automapTavernColorInfo,                             Farbe von Gasthäusern auf der Dungeon-Auto-Karte
automapHouseColor,                                  Farben der Wohnhäuser
automapHouseColorInfo,                              Farbe von Wohnhäusern auf der Dungeon-Auto-Karte
dungeonMicMapQoL,									Mikro-Karte QoL umschalten
dungeonMicMapQoLInfo,								Falsch = Verwendet klassische Mikrokarten-Farben\rWahr = Verwendet Qol Mikrokarten-Farben
dunMicMapInnerColor,                                Innerer Blockfarbe
