Key,Value
22400,hübsche Magd
22401,dunkler Krieger
22402,schreckliches Kind
22403,behörnter Mann
22404,bekralltes Ungetüm
22405,grüner Humanoid
22406,vierarmiger Riese
22407,dunkle Frau
22408,blonde Frau
22409,paarhufiger Mann
22410,dunkle Frau
22411,dunkel gewandete Frau
22412,grüne Schlange
22413,purpurner Riese
22414,eleganter Edelmann
22415,runzelige Vettel
22528,dunkel verhüllter Mann
22529,dunkel verhüllter Mann
22530,barbusige Tänzerin
22531,barbusige Tänzerin
22532,Tänzerin
22533,dunkel verhüllter Mann
22534,Frau in Schwarz und Rot
22656,alter Mann mit Kutte
22657,alter Mann mit Kutte
22658,kahlköpfiger Mann
22659,blonde Frau
22660,Mann mit leuchtenden Augen
22661,magiebegabter Handwerker
22784,Frau mit Kutte
22785,Mann mit roter Kutte
22786,rot verhüllter Mann
22787,rot verhüllter Mann
22788,Mann mit leuchtenden Augen
22789,Tänzerin mit roter Kutte
22790,Tänzerin mit roter Kutte
22912,nackte schwarzhaarige Frau
22913,nackte Frau
22914,mysteriöse Frau
22915,Tänzerin mit schwarzer Kutte
22916,rothaarige Frau
23040,dunkelhaarige Frau in rot
23041,blau gewandete Edelfrau
23042,gut gekleideter Mann
23043,korpulenter Herr in Violett
23168,blau verhüllter Mann
23169,junge Frau in Blau
23170,blau verhüllter alter Mann
23171,blau verhüllter Junge
23172,wunderschöne Blonde
23173,blau gewandete Tänzerin
23174,blau verhüllte Tänzerin
23175,blau verhüllte Tänzerin
23296,weißhaariger alter Mann
23297,fetter glatzköpfiger Mann
23298,blondbärtiger Mann
23299,bärtiger Mann
23300,gut gekleideter Junge
23301,Narr
23302,Narr
23303,weißbärtiger Mann
23304,Mann mit Kochmütze
23305,Frau in Grau
23306,Frau in Blau
23307,anmutige Magd
23308,Milchmädchen
23309,braun gewandeter Mann
23310,Mann mit braunem Hut
23311,blonder Aristokrat
23312,hellbärtiger Mann
23313,blondbärtiger Mann
23314,braunhaariger junger Mann
23315,Mann in grauem Waffenrock
23316,Mann in einem grünen Mantel
23317,alter Bettler
23318,verhüllter alter Mann
23319,Mann in einem blauen Mantel
23320,bärtiger alter Mann
23321,ungepflegt wirkender Seemann
23322,junge Dame in Grün
23323,elegant gewandete dame
23324,blau verhüllte Frau
23325,armseliger alter Krüppel
23326,jämmerlicher kahler Mann
23327,jämmerlicher kahler Mann
23328,gutaussehende Hure
23329,Prostituierte
23330,blonde Hure
23331,ungepflegter Seemann
23332,Schlangenbeschwörer
23333,Flötenspieler
23334,kleines Mädchen
23335,Straßenkehrer
23336,weise wirkender Mann
23337,auffallende Frau
23338,Page
23339,kleiner Junge
23340,alte Vettel
23341,unternehmungslustige Frau
23342,attraktiver junger Mann
23343,hübsche junge Dame
23344,blonde Hure
23345,Gaukler
23346,Flötenspieler
23347,Lautenspieler
