Key,Value
4,Maske des Clavicus Vile
66,Mehrunes’ Klinge
128,Streitkolben von Molag Bal
190,Hircines Ring
252,Sanguines Rose
314,Oghma Infinium
376,Wabbajack
438,Namiras Ring
500,Schädel der Verderbnis
562,Azuras Stern
624,%it der Stille
686,%it des Weisen
748,%it des Flächenbrandes
810,%it des Kraftstrahls
872,%it des Leuchtens
934,%it der versiegelten Tür
996,%it des unverwehrbaren Zugangs
1058,%it des Gegengifts
1120,%it des Lebensdiebstahls
1182,%it des Hexenmeisterfeuers
1244,%it des Springers
1306,%it des Wasserwandelns
1368,%it der Magie
1430,%it der Unermüdlichkeit
1492,%it des Federgewichts
1554,%it des Beschützers
1616,%it des Blitzes
1678,%it der Verfluchung
1740,%it der weiten Stille
1802,%it des Giftspeiens
1864,%it der lodernden Feuerbälle
1926,%it der frostigen Eisstürme
1988,%it des Energieblitzes
2050,%it des Totmanns
2112,%it der Heilung
2174,%it des Orkfürsten
2236,%it der Uneingeschränktheit
2298,%it des eisernen Willens
2360,%it der Beweglichkeit
2422,Torgo's %it
2484,%it der Stärkung
2546,%it der Freundschaft
2608,%it des guten Glücks
2670,%it des Reichs des Vergessens
2732,%it der Giftwolken
2794,%it der Lähmung
2856,Volendrung
2918,Ring des Hexenmeisters
2980,Auriels Bogen
3042,Amulett des Totenbeschwörers
3104,Chrysamere
3166,Fürstenrüstung
3228,Stab des Magnus
3290,Ring der Khajiit
3352,Ebenerzrüstung
3414,Auriels Schild
3476,Zauberbrecher
3538,Skelettschlüssel
3600,Ebenerzklinge
