Key,Value
0,"STÄRKE[/center]
[/center]
Stärke beeinflusst die Belastungsgrenze, den Waffenschaden[/left]
und wie leicht man in mit Stärke verbundenen Fertigkeiten[/left]
Aufsteigt.[/left]
[/center]
Mit Eurer Stärke von %str erhaltet Ihr den Status[/left]
[/center]
%ark[/center]
[/center]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]Modifikator auf[/left]
[/pos:x=40,y=0]Nahkampf / Waffenschaden.[/left]
[/center]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]Kilogramm ist Eure Belastungsgrenze.[/left]
[/end]"
1,"INTELLIGENZ[/center]
[/center]
Intelligenz beeinflusst das volle Magiepotential und wie leicht[/left]
man in mit Intelligenz verbundenen Fertigkeiten aufsteigt.[/left]
[/center]
Mit Eurer Intelligenz von %int erhaltet Ihr den Status:[/center]
[/center]
%ark.[/center]
[/center]
[/center]
[/pos:x=20,y=0]%spc von %spt Magiepunkte sind verfügbar.[/left]
[/end]"
2,"WILLENSKRAFT[/center]
[/center]
Willenskraft beeinflusst die Resistenz gegenüber Zaubereffekten[/left]
und wie leicht man in mit Willenskraft verbundenen Fertigkeiten[/left]
aufsteigt.[/left]
[/center]
Mit Eurer Willenkraft von %wil erhaltet Ihr den Status:[/center]
[/center]
%ark.[/center]
[/center]
[/center]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]Modifikator auf Magieresistenz.[/left]
[/end]"
3,"GESCHICKLICHKEIT[/center]
[/center]
Geschicklichkeit beeinflusst die Fähigkeit, ein Ziel zu treffen,[/left]
es zu vermeiden getroffen zu werden und wie leicht man in[/left]
mit Geschicklichkeit verbundenen Fertigkeiten aufsteigt.[/left]
[/center]
Mit Eurer Geschicklichkeit von %agi erhaltet Ihr den Status:[/center]
[/center]
%ark.[/center]
[/center]
[/center]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]Modifikator auf Eure Kampfvorteile.[/left]
[/end]"
4,"KONSTITUTION[/center]
[/center]
Konstitution beeinflusst die Anzahl der Trefferpunkte,[/left]
die Heilungsrate, die Resistenz gegen Gifte und Krankheiten[/left]
sowie Ermüdung.[/left]
[/center]
Mit Eurer Konstitution von %end erhaltet Ihr den Status:[/center]
[/center]
%ark[/center]
[/center]
[/center]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]Modifikator auf die Anzahl der[/left]
[/pos:x=40,y=0]Trefferpunkte, die Ihr erhaltet,[/left]
[/pos:x=40,y=0]wenn Ihr eine Stufe aufsteigt.[/left]
[/center]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]Modifikator auf Eure Heilungsrate.[/left]
[/end]"
5,"CHARISMA[/center]
[/center]
Charisma beeinflusst, wie leicht man in mit Charisma[/left]
verbundenen Fertigkeiten aufsteigt.[/left]
[/center]
Mit einem Charismawert von %per erhaltet Ihr den Status:[/center]
[/center]
%ark[/center]
[/end]"
6,"SCHNELLIGKEIT[/center]
[/center]
Schnelligkeit beeinflusst die Bewegungsrate, die Nachlade-[/left]
geschwindigkeit von Geschossen und alle mit Schnelligkeit[/left]
verbundenen Fertigkeiten.[/left]
[/center]
Mit Eurer Schnelligkeit von %spd erhaltet Ihr den Status:[/center]
[/center]
%ark [/center]
[/end]"
7,"GLÜCK[/center]
[/center]
Glück ist ein mächtiger Modifkator und beeinflusst jede Eurer[/left]
Aktionen. Es gibt keine Fertigkeit, deren Primärattribut Glück[/left]
ist, aber Eure Erfolgschancen werden bei jeder Prüfung Eurer[/left]
Fertigkeiten vom Glück beeinflusst.[/left]
[/center]
Mit Eurem Glückswert von %luc erhaltet Ihr den Status:[/center]
[/center]
%ark[/center]
[/center]
[/end]"
8,"Die Ausbildung kostet %a.[/center]
Wollt Ihr mit der Ausbildung beginnen?[/end]"
10,"Ich denke, sie haben einen in %fcn.[/end]"
11,"Ich habe keine Ahnung.[/record]
Ehrlich, ich kann es Euch nicht sagen.[/record]
Weiß nicht, wirklich ...[/record]
Fragt jemand anderen.[/record]
Wem erzählt Ihr das.[/end]"
12,Ihr habt keine Zaubersprüche in Eurem Zauberbuch.[/end]
13,"Es gibt auf Eurer Karte keinen Ort mit diesem Namen.[/center] 
[/end]"
14,Ihr müsst Eure Bonuspunkte verteilen.[/end]
15,Wollt Ihr Euch den Stadtwachen ergeben?[/end]
16,Ihr könnt das Zimmer nicht für so viele Tage mieten.[/end]
17,"Es ist untersagt, in der Stadt oder in deren Nähe zu lagern.[/end]"
18,Ihr seid gesund.[/end]
19,Ihr gehört keiner Gruppierung an.[/end]
20,"Es gibt keine Seele in Azuras Stern, die Ihr befreien könntet.[/end]"
21,"Ihr könnt nicht in einer Fertigkeit ausgebildet werden, die über 50% liegt.[/end]"
