Key,Value
about_internal_strings,This string table collection stores text that was hard-coded in FALL.EXE and text unique to Daggerfall Unity.
pleaseSelectYourHomeProvince,So wählt Eure Heimatprovinz ...
saveGame,Spiel speichern
loadGame,Spiel laden
thingJustDied,%s ist tot.
gameSaved,Spiel gespeichert.
gameLoaded,Spiel geladen.
thisHouseHasNothingOfValue,Das Haus enthält nichts von Wert.
findLocationPrompt,Ortsnamen eingeben :
rightHandEquipped,Rechter Handwechsel
leftHandEquipped,Linker Handwechsel
usingRightHand,Verwendung der Waffe in der rechten Hand.
usingLeftHand,Verwendung der Waffe in der linken Hand.
itemHasBroken,%s ist zerbrochen.
itemHasBrokenPlural,%s sind zerbrochen.
cannotCarryGold,Ihr könnt soviel Gold nicht tragen.
cannotFloat,"Ihr tragt zu viel, um Euch über dem Wasser zu halten."
youHaveNoArrows,Keine Pfeile mehr.
oldSaveNoTrade,"Alter Innenraum geladen, Handelsfenster funktioniert nicht, bitte Gebäude verlassen und neu betreten."
theBodyHasNoTreasure,Keine Beute bei dieser Leiche.
youAreTooFarAway,Ihr seid zu weit weg ...
youSeeAn,Ihr seht eine/n %s.
youSeeA,Ihr seht eine/n %s.
youSeeADeadPerson,"%s - tot, wie Ihr seht."
youSeeADead,Ihr seht einen Leichnam.
youCollectArrows,Du ziehst deine Pfeile aus dem Leichnam.
loiterHowManyHours,Wie lange warten :
restHowManyHours,Wie lange rasten :
potionRecipeFor,Trankrezept für %po
potionRecipeWeight,Gewicht: %kg kg
potionOf,Rezept für %po.
letterPrefix,Brief: 
multipleAssignments,Ihr habt etwas mehrfachbelegt ...
youAreEntering,Ihr betretet %s
storeClosed,Der Laden ist geschlossen. Geöffnet von %d1:00 bis %d2:00.
guildClosed,Die Gilde ist geschlossen. Geöffnet von %d1:00 bis %d2:00.
any,einen %s
arkayDesc,Gott von Geburt und Tod
zenDesc,Gott von Arbeit und Handel
maraDesc,Göttin der Liebe
akatoshDesc,Gott der Zeit
julianosDesc,Gott der Logik
dibellaDesc,Göttin der Schönheit
stendarDesc,Gott der Gnade
kynarethDesc,Göttin der Luft
interactionIsNowInMode,Interaktion ist jetzt im %smodus.
steal,Stehl
grab,Greif
info,Info
dialogue,Dialog
residence,Residenz
youSee,Ihr seht %s.
theNamedResidence,die %s-Residenz
playerResidence,Haus von %s
materialIneffective,Das Material Eurer Waffe ist wirkungslos.
successfulBackstab,Meucheln erfolgreich!
languagePacified,%e gelähmt durch Nutzung der Fertigkeit %s.
lockpickingSuccess,Das Schloss öffnet sich.
lockpickingFailure,Es öffnet sich nicht.
magicLock,Das Schloss ist magisch versiegelt ...
lockpickChance1,Das Schloss hat nichts zu fürchten ...
lockpickChance2,Das Schloss wäre nur durch ein Wunder zu öffnen ...
lockpickChance3,Das Schloss übersteigt Eure Fähigkeiten ...
buildingNames,"Tempel des Akatosh
Tempel des Arkay
Tempel der Dibella
Tempel des Julianos
Tempel der Kynareth
Tempel der Mara
Tempel des Stendarr
Tempel des Zen
Orden des Raben
Ritter des Drachen
Ritter der Eule
Orden der Kerze
Ritter der Flamme
Heerschar des Horns
Ritter der Rose
Ritter vom Rade
Orden des Skarabäus
Ritter des Falken
Magiergilde
Kriegergilde
Taverne
Bibliothek
Waffenschmied
Rüstungsschmied
Alchemist
Bank
Buchladen
Kleiderladen
Schmuckladen
Pfandwaren"
lockpickChance,"Ihr bezweifelt, das Schloss knacken zu können ...
Das Schloss sieht knifflig aus ...
Das Schloss wäre eine Herausforderung ...
Das Schloss sollte eine echte Herausforderung sein ...
Ihr glaubt, das Schloss knacken zu können ...
Das Schloss sieht recht einfach aus ...
Das Schloss ist für Euch ein Witz ...
Das Schloss ist nur von schlichter Qualität ...
Das Schloss verdient den Namen nicht ...
Das Schloss beleidigt Eure Fähigkeiten ..."
youPinchedGoldPiece,Ihr habt 1 Gold gestohlen.
youPinchedGoldPieces,Ihr habt %d Gold gestohlen.
youAreNotSuccessful,Ihr habt keinen Erfolg ...
daysUntilFreedom,%d Tage zur Entlassung.
skillImprove,Eure Fertigkeit %s hat sich verbessert.
mustDistributeBonusPoints,Ihr müsst alle Bonuspunkte verteilen.
enterNewName,Neuer Name :
affiliation,Mitgliedschaft
rank,Rang
serviceQuests,Quest erhalten
serviceSell,Verkaufen
serviceBanking,Bankgeschäfte
serviceIdentify,Identifizieren
serviceBuySpells,Zauber kaufen
serviceTraining,Ausbildung
serviceTeleport,Teleportation
serviceMakeSpells,Zauber erstellen
serviceBuyMagicItems,Magische Gegenstände kaufen
serviceSellMagicItems,Magische Gegenstände verkaufen
serviceDaedraSummon,Daedrabeschwörung
serviceMakeMagicItems,Magische Gegenstände erstellen
serviceRepairs,Reparieren
serviceDonate,Spenden
serviceCure,Krankheiten heilen
serviceSpymaster,Meisterspion
serviceMakePotions,Tränke erstellen
serviceBuyPotions,Tränke kaufen
serviceBuySoulgems,Seelensteine kaufen
serviceReceiveArmor,Rüstung erhalten
serviceReceiveHouse,Haus erhalten
serviceReceiveHouseAlready,Ihr habt Euer Haus schon erhalten.
accessMembersOnly,Nur Mitglieder mit ausreichendem Rang können darauf zugreifen.
serviceCured,Ihr seid geheilt.
serviceSummonCost1,"%pcn, die Kosten für den Versuch einer"
serviceSummonCost2,Beschwörung von %dae ist
serviceSummonCost3,Gold.
roomFreeForKnightSuchAsYou,Das Zimmer ist für einen Ritter wie Euch umsonst.
roomFreeDueToHeartsDay,"Zimmer ist umsonst, weil Herztag ist!"
youAreNotHungry,Ihr seid nicht hungrig.
exhaustedInWater,Müdigkeit überwältigt Euch und schickt Euch in ein feuchtes Grab ...
youFeelSomewhatBad,Ihr fühlt Euch ziemlich schlecht.
avoidDeath,Dank der Gnade Stendarrs überlebt ihr den sicheren Tod!
pronounHe,er
pronounShe,sie
pronounHim,ihm
pronounHer,ihr
pronounHis,sein
pronounHers,sein
pronounHimself,selbst
pronounHerself,selbst
city,Stadt
village,Dorf
hamlet,Weiler
farm,Hof
shack,Hütte
manor,Anwesen
community,Gemeinschaft
shrine,Schrein
King,König
Queen,Königin
Duke,Herzog
Duchess,Herzogin
Marquis,Marquis
Marquise,Marquise
Count,Graf
Countess,Gräfin
Baron,Baron
Baroness,Baroness
Lord,Fürst
Lady,Fürstin
revered,verehrt
esteemed,geschätzt
honored,geehrt
admired,bewundert
respected,respektiert
dependable,zuverlässig
aCommonCitizen,ein einfacher Bürger
hated,verhasst
pondScum,Abschaum
aVillain,ein Verbrecher
aCriminal,ein Krimineller
aScoundrel,ein Schurke
undependable,unzuverlässig
unknown,unbekannt
Broken,Zerbrochen
Useless,Nutzlos
Battered,Abgenutzt
Worn,Getragen
Used,Gebraucht
SlightlyUsed,Kaum benutzt
AlmostNew,Wie neu
New,Neu
Nothing,Nichts
local,Lokal
tavern,Taverne
Attempted_Breaking_And_Entering,Einbruchsversuch
Trespassing,Hausfriedensbruch
Breaking_And_Entering,Einbruchsversuch
Assault,Tätlichkeit
Murder,Mord
Tax_Evasion,Steuerhinterziehung
Criminal_Conspiracy,Kriminelle Verabredung
Vagrancy,Landstreicherei
Smuggling,Schmuggel
Piracy,Piraterie
High_Treason,Hochverrat
Pickpocketing,Taschendiebstahl
Theft,Diebstahl
Treason,Verrat
Loan_Default,Loan Default
Regular_Punishment_String,%gtp Gold Strafe und %dip Tage Gefängnis
Banishment,Verbannung
Execution,Hinrichtung
cannotChangeTransportationIndoors,Ihr könnt das Transportmittel nicht in Innenräumen wechseln.
cannotTravelWithEnemiesNearby,"Ihr könnt nicht reisen, wenn Feinde in der Nähe sind."
cannotTravelIndoors,"Ihr könnt nicht reisen, wenn Ihr in Innenräumen seid."
powersUnknown,Kräfte unbekannt
itemPowers,"Wirkung durch Benutzung:
Dauerhafte Wirkung:
Wirkung bei Treffer:
Extra-Spruchpkt.
Stark gegen
Gesundheitsregen.
Vampireffekt
Tragfähigkeit
Repariert Objekte
Zauberabsorption
Steigert Fertigkeit
Federgewicht
Stärkt Rüstung
Verbessert Talente
Guter Ruf bei
Gebundene Seele
Abnutzung
Schaden für Benutzer
Sichtprobleme
Laufprobleme
Schwach gegen
Gesundheitsentzug
Reagiert schlecht auf
Zusatzgewicht
Schwächt Rüstung
Schlechter Ruf bei"
enemyNames,"Ratte
Kobold
Zweigling
fledermaus
Bär
Säbelzahntiger
Spinne
Ork
Zentaur
Werwolf
Nymphe
Schlachterfisch
Ork-Sergeant
Harpyie
Wereber
Skelettkrieger
Riese
Zombie
Geist
Mumie
Riesenskorpion
Ork-Schamane
Gargoyle
Gespenst
Ork-Kriegsherr
Frostatronach
Flammenatronach
Daedroth
Vampir
Daedrische Verführerin
Uralter Vampir
Dremora
Lich
Uralter Lich
Drachling
Feuergolem
Eisengolem
Luftgolem
Wassergolem
Pferd
Drachling
Dreugh
Lamia
Magier
Magierkrieger
Kampfmagier
Hexer
Heiler
Nachtklinge
Barde
Einbrecher
Bandit
Akrobat
Dieb
Assassine
Mönch
Schütze
Waldläufer
Barbar
Krieger
Ritter
Stadtwache"
extraSpellPtsTimes,"im Winter
im Frühling
im Sommer
im Herbst
bei Vollmond
bei Halbmond
bei Neumond
bei Untoten
bei Daedra
bei Humanoiden
bei Tieren"
regensHealthTimes,"jederzeit
bei Sonnenlicht
bei Dunkelheit"
vampiricEffectRanges,"auf Reichweite
bei Schlag"
increasedWeightAllowances,"25 % zusätzlich
50 % zusätzlich"
improvedTalents,"Scharfes Gehör
Athletik
Adrenalinrausch"
itemDeteriorateLocations,"jederzeit
bei Sonnenlicht
an heiligen Stätten"
userTakesDamageLocations,"bei Sonnenlicht
an heiligen Stätten"
enemyGroupNames,"Untote
Daedra
Humanoide
Tiere"
healthLeechStopConditions,"bei Benutzung
wenn nicht täglich genutzt
wenn nicht pro Woche genutzt"
badReactionFromEnemyGroups,"Humanoide
Tiere
Daedra"
repWithGroups,"Gemeines Volk
Händlern
Gelehrten
Adligen
Unterwelt
allen"
youReceiveGoldPieces,Ihr erhaltet %s Goldstücke.
bankPurchasePrice,Preis: %s Gold
youHaveRentedRoom,Ihr habt ein Zimmer im %s für %d Stunden gemietet.
haveNotRentedRoom,Ihr habt hier kein Zimmer gemietet.
expiredRentedRoom,Eure Zimmerbuchung ist abgelaufen.
tavernAle,Ale (1 Gold)
tavernBeer,Bier (1 Gold)
tavernMead,Met (2 Gold)
tavernWine,Wein (3 Gold)
tavernBread,Brot (1 Gold)
tavernBroth,Brühe (1 Gold)
tavernCheese,Käse (2 Gold)
tavernFowl,Hühnchen (3 Gold)
tavernGruel,Brei (2 Gold)
tavernPie,Pastete (2 Gold)
tavernStew,Eintopf (3 Gold)
pressButtonToFireSpell,Taste drücken um den Zauber abzufeuern.
climbingMode,Klettermodus
rappelMode,Abseilmodus.
hangingMode,Hängender Modus
acuteHearing,Scharfes Gehör
adrenalineRush,Adrenalinrausch
athleticism,Athletik
bonusToHit,Trefferbonus gegen
expertiseIn,Expertentum für
immunity,Immunität gegen
increasedMagery,Gesteigerte Magie
rapidHealing,Schnellheilung
regenerateHealth,Gesundheit regenerieren
resistance,Resistenz gegen
spellAbsorption,Zauberabsorption
animals,Tiere
daedra,Daedra
humanoid,Humanoide
undead,Untote
axe,Axt
bluntWeapon,Stumpfe Waffe
handToHand,Nahkampf
longBlade,Langwaffe
missileWeapon,Fernwaffe
shortBlade,Kurzwaffe
toDisease,Krankheit
toFire,Feuer
toFrost,Frost
toMagic,Magie
toParalysis,Lähmung
toPoison,Gift
toShock,Blitz
intInSpellPoints15,1.5x INT in Spruchpunkten
intInSpellPoints175,1.75x INT in Spruchpunkten
intInSpellPoints2,2x INT in Spruchpunkten
intInSpellPoints3,3x INT in Spruchpunkten
intInSpellPoints,1x INT in Spruchpunkten
general,Generell
inDarkness,bei Dunkelheit
inLight,bei Licht
whileImmersed,wenn im Wasser
criticalWeakness,Kritische Schwäche gegen
damage,Schaden durch
darknessPoweredMagery,Magiestärkung bei Dunkelheit
forbiddenArmorType,Verbotene Rüstungsart
forbiddenMaterial,Verbotenes Material
forbiddenShieldTypes,Verbotene Schildart
forbiddenWeaponry,Verbotene Waffenart
inabilityToRegen,Keine Spruchpunkte-Regeneration
lightPoweredMagery,Magiestärkung bei Licht
lowTolerance,Niedrige Toleranz
phobia,Phobie
fromHolyPlaces,heilige Stätten
fromSunlight,Sonnenlicht
lowerMagicAbilityDaylight,Magieschwächung bei Tageslicht
unableToUseMagicInDaylight,Magieunfähigkeit bei Tageslicht
chain,Kettenrüstung
leather,Lederrüstung
plate,Plattenrüstung
adamantium,Adamant
daedric,Daedrisch
dwarven,Zwergisch
ebony,Ebenerz
elven,Elfisch
iron,Eisen
mithril,Mithril
orcish,Orkisch
silver,Silber
steel,Stahl
buckler,Buckler
kiteShield,Drachenschild
roundShield,Rundschild
towerShield,Turmschild
lowerMagicAbilityDarkness,Magieschwächung bei Dunkelheit
unableToUseMagicInDarkness,Magieunfähigkeit bei Dunkelheit
helpAttributes,Attribute
helpClassName,Klassenname
helpGeneral,Allgemein
helpReputations,Ruf
helpSkillAdvancement,Fertigkeitsteigerung
helpSkills,Fertigkeiten
helpSpecialAdvantages,Besondere Vorteile
helpSpecialDisadvantages,Besondere Nachteile
lower,Gesunken
higher,Gestiegen
unchanged,Unverändert
elsweyr,Elsweyr
blackMarsh,Schwarzmarsch
hammerfell,Hammerfall
highRock,Hochfels
morrowind,Morrowind
skyrim,Himmelsrand
sumurset,Sommersend
valenwood,Valenwald
rollingHills,im Hügelland
desertLand,in der Wüste
mountains,im Gebirge
swamps,in den Sümpfen
forests,in den Wäldern
shores,am Ufer
medical,Heilkunde
etiquette,Etikette
streetwise,Schlagfertigkeit
jumping,Springen
harpy,Harpyiensprache
giantish,Riesensprache
dragonish,Drachisch
nymph,Nymphisch
aedric,Daedrisch
spriggan,Zweiglingsprache
centaurian,Zentaurisch
impish,Koboldisch
lockpicking,Schlösser öffnen
mercantile,Feilschen
pickpocket,Taschendiebstahl
stealth,Schleichen
swimming,Schwimmen
climbing,Klettern
backstabbing,Meucheln
dodging,Ausweichen
running,Rennen
destruction,Zerstörung
restoration,Wiederherstellung
illusion,Illusion
alteration,Veränderung
thaumaturgy,Thaumaturgie
mysticism,Mystik
archery,Schießkunst
criticalStrike,Kritischer Schlag
strength,Stärke
intelligence,Intelligenz
willpower,Willenskraft
agility,Geschicklichkeit
endurance,Konstitution
personality,Charisma
speed,Schnelligkeit
luck,Glück
STR,STR
INT,INT
WIL,WIL
AGI,GES
END,KON
PER,CHA
SPD,SCH
LUC,GLK
breton,Bretone
redguard,Rothwardone
darkElf,Dunkelelf
highElf,Hochelf
woodElf,Waldelf
khajiit,Khajiit
argonian,Argonier
vampire,Vampir
werewolf,Werwolf
wereboar,Wereber
vraseth,Vraseth
haarvenu,Haarvenu
thrafey,Thrafey
lyrezi,Lyrezi
montalion,Montalion
khulari,Khulari
garlythi,Garlythi
anthotis,Anthotis
selenu,Selenu
lockedExteriorDoor,Geschlossen.
canOnlyCastOncePerDay,Kann nur 1x / Tag gewirkt werden ...
youNeedToHuntTheInnocent,Ihr verlangt nach unschuldigem Blut ...
youDreamOfTheMoon,Ihr träumt wieder vom Mond ...
inventoryWhileShapechanged,Kein Inventar bei Formwandlung ...
youGetNoResponse,Ihr erhaltet keine Antwort.
copyLogbookInfo,Linksklick: Kopieren des markierten Textes einschalten. Rechtsklick: Kopieren des gesamten aktuellen Gesprächs.
east,östlich
northeast,nordöstlich
north,nördlich
northwest,nordwestlich
west,westlich
southwest,südwestlich
south,südlich
southeast,südöstlich
thisPlace,dieser Ort
AnyNews,Irgendwelche Neuigkeiten?
WhereAmI,Wo bin ich?
AnswerTextWhereAmI,Ihr befindet Euch in {0} in {1}.
YouAreInSameBuilding,Ihr habt {0} gefunden. Ihr befindet Euch dort.
NpcInSameBuilding,{0} ist hier irgendwo in {1}.
PreviousList,Vorherige Liste
General,Allgemein
Regional,Regional
Alchemists,Alchemisten
