Key,Value
382613,Caarcun-Anwesen
1435144,Herberge Zur Fliegenden Ziege
2484750,Ruinen des Caorchom-Gehöfts
3533330,Stendarrs Singender Stern
4582840,Gasthaus Zum Toten Greifen
5631489,Stendarrs Selige Wiedergeburt
6681069,Ruinen des F'igta-Gehöfts
7730553,Stendarrs Gesegneter Prophet
8779219,Maorns Wacht
9828725,Alt-Nhethstatt
10878349,Atriga
11926957,Grabstätten von Klerd
12975535,Hütte der Alten Luctta
14025104,Bubyrydata
15074640,Herberge Zu Fledermaus und Vogel
16124193,Berbaaqnia
17174726,Krypten von Rhajom
18223327,Groleten
19271936,Ruinen von Alt-Stecttistatt
20320547,Shust-Gehöft
21369130,Stendarrs Heiliger Märtyrer
22417712,Schloss Lhishen
23467165,Grabstätten von Cofylt
24516751,Stendarrs Furchtsamer Baum
25565421,T'arder-Gewölbe
26614955,Ruinen des Ghach-Gehöfts
27663535,Ruinen der Tlurn'kernpfalz
28712158,Mhurgin-Anwesen
29760740,Stendarrs Weinender Erlöser
30810229,Ruinen des Mhurp-Obstgartens
31859850,Azarus-Netz
32910438,Turm von Thuze
33959037,Ruinen des Cyeghtan-Anwesens
35008605,Kaloguja
36057193,Ruinen des Gutshofs von Saullur
37106662,Ruinen von Merims Wacht
38155335,Taverne Zu Ratte und Schloss
39204823,Gutshof Rlictta
40253489,Syro-Kom
41303972,Stendarrs Blutendes Licht
42353413,Ruinen von Alt-Lerkfas Hütte
43402098,Ruinen des Krofylen-Gerichtshofs
44450710,Turm von Caect'kern
45499404,Stendarrs Blutender Seher
46548913,Ruinen von Alt-Mhorcistatt
47597527,Turm von Baesum
48647001,Hettubu
49695593,Ruinen von Rairgkehall
50744174,Sekbith
51793622,Fhollpfalz
52842419,Taverne Zu Des Teufels Humpen
53891732,Ruinen des Alte-Sles-i-Bauernhofs
54940340,Mogandaton
55989066,Friedhof Rurcur
57037717,Vlozir-Gewölbe
58086314,Tricerlorog-Netz
59135650,Ruinen des Rlethten-Gehöfts
60184362,Marexulla-Pfarrei
61233933,Grejonpfalz
62282512,Steingrab des Balthobam
63331146,Grabkammer des Lithehoth
64379737,Dhalpemhall
65429189,Krypten von Chort
66477767,Zenunnuga
67526394,Rhogila
68575045,Garin-Anwesen
69624526,Zitadelle von Kherdar
70673223,Dasenturm
71722522,Alte Mught-si-Hütte
72771108,Stendarrs Feuriges Götterbild
73819798,Khurtin-Gerichtshof
74868381,Osopaisa
75917092,Flor-Grube
76966430,Maelinxullah-Einsiedelei
78015130,Gasthaus Zum Rastlosen Dachs
79064561,Shallir-Turm
80113160,Ruinen des Rlold'kern-Turms
81161870,Mesascuza
82210490,Ceriburea
83259071,Baghissibu
84307700,B'irdpfalz
85356287,Fraternität von Geriblither
86405622,Relder-Gräberfeld
87454323,Baerpe-Anwesen
88502910,Stendarrs Seliger Seher
89551540,Fhirht'kern-Turm
90600914,Mhustunhall
91649523,Ruinen des Maeshke-Gehöfts
92698270,Stendarrs Blutende Dämmerung
93747600,Ruinen des Barpen-Gehöfts
94796189,Ruinen des Racher-Anwesens
95844799,Friedhof Birker
96893512,Lhojin-Gräberfeld
97942118,Sashthrac
98991510,Ruinen der Tosom-Plantage
100040090,Hexenzirkel in der Marsch
101088668,Netz von Trogdred
102137467,Naraharet
103186065,Ruinen von B'ijurhall
104235398,Stendarrs Sanfter Stern
105283981,Kildir-Gräberfeld
106332587,Ruinen des Maarp-Turms
107381381,Sairer-Gerichtshof
108429959,Schloss Vorg
109479287,Ruinen des Vluctten-Gehöfts
110527893,Sahuagex-Höhle
111576593,M'arg-Anwesen
112625185,Mogindai
113673773,Friedhof Stuvam
114723151,Schloss Kog'kern
