Key,Value
1,Fenricks Schlösser
2,Schwimmhäute
3,Frostbiss
4,Levitation
5,Licht
6,Unsichtbarkeit
7,Feuer des Hexenmeisters
8,Blitz
9,Stärkeentzug
10,Freie Handlung
11,Frostresistenz
12,Feuerresistenz
13,Blitzresistenz
14,Feuerball
15,Gift heilen
16,Eisblitz
17,Schild
18,Öffnen
19,Hexerschloss
20,Eissturm
22,Zauberschild
23,Stille
24,Trollblut
25,Feuersturm
26,Giftresistenz
27,Magieentzug
28,Weite Stille
29,Giftwolke
30,Shalidors Spiegel
31,Energieblitz
32,Gottesfeuer
33,Flächenbrand
34,Hexerbann
35,Blick der Medusa
36,Kraftstrahl
37,Langsamer Fall
38,Sprung
39,Magieresistenz
40,Ausdauer
41,Wasserwandeln
42,Wasseratmung
44,Chamäleon
45,Schattengestalt
46,Zauberreflektion
47,Zauberabsorption
49,Sprachen
50,Lähmung
51,Schlaf
52,Berührung des Vampirs
53,Hand des Schlafes
54,Magieauszehrung
55,Sphäre der Negierung
56,Hand des Zerfalls
57,Daedra bannen
58,Heilige Berührung
59,Magieaufhebung
60,Balynas Gegengift
61,Krankheit heilen
62,Seelenfalle
64,Heilung
66,Berührung der Spinne
67,Energieentzug
71,Nux Vomica
72,Arsenic
73,Moonseed
74,Drothweed
75,Somnalius
76,Pyrrhic Acid
77,Magebane
78,Thyrwort
79,Indulcet
80,Sursum
81,Quaesto Vil
82,Orkstärke
83,Weisheit
84,Eiserner Wille
85,Beweglichkeit
86,Notorgos Füße
87,Stärkung
88,Ausstrahlung
89,Vielseitigkeit
90,Sterblichen bezaubern
91,Humanoiden besänftigen
92,Lykanthropie
94,Rückkehr
97,Balynas Balsam
98,Untotenruhe
99,Zähmen
